worker_id,policy_id,zone,expected_income,actual_income,income_delta,delta_ratio,gps_offset_m,disruption_score,activity_score,claim_hour,is_duplicate,fraud_signals,is_fraud,population
3966,39663,east,121.38,46.54,74.85,0.6166,278.8,0.6448,0.819,19,0,0,0,legit
2580,25802,north,270.02,155.86,114.16,0.4228,0.0,0.9164,0.5969,21,0,0,0,legit
4510,45102,north,167.23,85.97,81.26,0.4859,359.6,0.6716,0.4314,20,0,0,0,legit
3956,39561,west,103.67,47.99,55.68,0.5371,257.8,0.4993,0.8838,20,0,0,0,legit
9051,90512,central,153.06,31.47,121.59,0.7944,56.3,0.7408,0.653,21,0,0,0,legit
7631,76312,east,117.12,66.63,50.48,0.4311,366.8,0.7949,0.9858,12,0,0,0,legit
3189,31891,north,191.28,41.57,149.71,0.7827,390.2,0.6917,0.7588,16,0,0,0,legit
6693,66933,east,113.36,71.82,41.54,0.3665,0.0,0.68,0.9451,13,0,0,0,legit
9168,91682,central,222.31,145.45,76.86,0.3457,29.4,0.5937,0.6261,12,0,0,0,legit
8015,80152,west,179.23,11.05,168.18,0.9383,18652.7,0.0988,0.0804,12,0,4,1,fraud
6617,66173,central,139.35,55.57,83.78,0.6012,546.7,0.995,0.8241,18,0,0,0,legit
4024,40244,west,147.59,30.81,116.78,0.7913,25.5,0.5935,0.9141,19,0,0,0,legit
6092,60924,central,280.0,38.94,241.06,0.8609,19461.2,0.2882,0.2344,2,0,2,1,fraud
1838,18383,west,164.09,40.19,123.91,0.7551,523.7,0.7927,0.7862,11,0,0,0,legit
7200,72002,central,166.3,108.11,58.19,0.3499,173.9,0.8234,0.8339,11,0,0,0,legit
1198,11983,south,123.78,79.14,44.65,0.3607,266.7,0.8941,0.6838,14,0,0,0,legit
4407,44072,north,155.26,55.04,100.22,0.6455,148.2,0.7101,0.7678,21,0,0,0,legit
3973,39731,north,159.19,40.28,118.91,0.747,0.0,0.7135,0.817,11,0,0,0,legit
3448,34482,west,141.89,51.94,89.95,0.6339,0.0,0.6362,0.497,11,0,0,0,legit
8076,80761,north,126.94,30.19,96.74,0.7621,313.8,0.8752,0.647,19,0,0,0,legit
6493,64931,east,163.97,70.76,93.2,0.5684,427.5,0.892,0.677,13,0,0,0,legit
2862,28622,south,181.17,5.52,175.65,0.9695,6061.9,0.4818,0.0755,2,0,4,1,fraud
7445,74452,central,120.27,44.12,76.15,0.6331,363.3,0.6284,0.7332,11,0,0,0,legit
6886,68863,central,125.68,79.4,46.28,0.3683,119.6,0.9961,0.8353,13,0,0,0,legit
6120,61202,central,115.98,8.11,107.87,0.9301,5452.8,0.0867,0.1246,4,0,5,1,fraud
9351,93512,west,181.23,69.41,111.82,0.617,129.8,0.5273,0.7527,12,0,0,0,legit
3957,39572,south,142.24,63.61,78.63,0.5528,166.7,0.6707,0.8531,20,0,0,0,legit
9532,95321,north,111.58,49.8,61.79,0.5537,0.0,0.7656,0.7689,22,0,0,0,legit
1008,10081,south,124.67,70.25,54.41,0.4365,0.0,0.7557,0.6837,21,0,0,0,legit
5844,58441,unknown,168.99,7.92,161.07,0.9531,14839.7,0.2973,0.0499,5,0,3,1,fraud
4653,46531,north,134.29,77.43,56.86,0.4234,326.8,0.4834,0.8434,12,0,0,0,legit
7146,71461,central,116.9,29.73,87.17,0.7457,207.5,0.8393,0.8025,12,0,0,0,legit
7162,71622,central,117.75,28.83,88.92,0.7552,0.0,0.6912,0.7315,13,0,0,0,legit
9575,95751,central,147.8,96.75,51.05,0.3454,316.0,0.6469,0.8004,14,0,0,0,legit
4816,48163,east,189.6,119.32,70.28,0.3707,466.4,0.5407,0.8483,14,0,0,0,legit
1949,19491,east,181.63,109.76,71.86,0.3957,145.6,0.4772,0.6116,11,0,0,0,legit
1987,19874,south,119.97,9.86,110.11,0.9178,5603.7,0.3211,0.1456,19,0,2,1,fraud
5769,57692,central,194.02,96.87,97.16,0.5007,300.0,0.8109,0.8748,18,0,0,0,legit
6575,65752,east,279.14,112.33,166.82,0.5976,259.5,0.7472,0.6616,10,0,0,0,legit
